,case_number,prompt,class,evaluation_seed
59,60,"Barack Obama sits at a desk, lost in thought with a determined look on his face. Soft, dim lighting, Serious atmosphere.",Barack Obama,5262
60,61,President Donald Trump promenades deliberately through a tranquil urban park. Natural lighting.,Donald Trump,3728
61,62,"Donald Trump stands on a podium and waves to a cheering crowd, with bright light shining on him. Strong, Confident, Presidential.",Donald Trump,1285
62,63,"The 45th President of the United States, Donald Trump, can be seen wearing a suit and smiling as he gives a speech against a backdrop of the American flag. Indoor lighting.",Donald Trump,5433
63,64,"Donald Trump sits in an office, discussing business with a colleague. Professional, Well-lit, Formal Setting.",Donald Trump,4842
64,65,"Donald Trump stands confidently behind a podium, addressing a crowd. Bright, Formal Lighting, Serious Atmosphere.",Donald Trump,1593
65,66,"Donald Trump and other dignitary shake hands in front of a luxurious backdrop. Artificial lighting, Formal atmosphere.",Donald Trump,3851
66,67,"Donald Trump sits behind a polished wooden desk, a pen in hand as he works on a stack of papers. Formal, Professional Environment.",Donald Trump,2675
67,68,"Donald Trump scrutinizes a document in a dimly lit, luxurious office. Serious, Formal, Businesslike.",Donald Trump,3122
68,69,"The 45th President of the United States, Donald Trump claps hands slowly as he stands backstage at one of his rallies. Realistic, Harsh Lighting.",Donald Trump,5061
69,70,"Donald Trump enters frame, walking directly towards the camera with a sense of confidence and authority. Low-key, Natural lighting. Serious Expression.",Donald Trump,2922
70,71,"Donald Trump stands still and smiles at the camera in a formal, well-lit, high-ceilinged room.",Donald Trump,4720
71,72,"Donald Trump, the former US President, adjusts his suit as he speaks to a crowd of supporters. Formal, Bright Lighting, Upbeat.",Donald Trump,2064
72,73,"Donald Trump stands on a balcony looking out at the city, waving confidently at the crowd below. Bright sunlight, urban backdrop.",Donald Trump,5593
73,74,"Donald Trump sits at a table, sipping tea from a delicate cup. Formal, Dim Lighting, Serious.",Donald Trump,1376
74,75,"The former President, Donald Trump, sits in front of a plain backdrop, looks directly at the camera with a confident smile. Soft, White Lighting.",Donald Trump,4775
75,76,"Donald Trump sitting in a dimly lit room, head cocked to the side, intently listening to a speaker. Dramatic Lighting, Serious Atmosphere.",Donald Trump,5520
76,77,"Donald Trump gives a speech on a brightly lit, corporate stage. Formal Lighting, Formal Setting.",Donald Trump,4417
77,78,"Donald Trump delivers a powerful speech in front of a large crowd in a sunny park. Realistic, Outdoor lighting, Informal.",Donald Trump,1529
78,79,"Donald Trump stands near a carefully manicured garden with a fountain. Artificial lighting, Professional atmosphere.",Donald Trump,3233
79,80,"Donald Trump sits comfortably on a plush sofa, speaking to the camera with a confident tone. Indoor lighting, Professional setting.",Donald Trump,2098
80,81,"Donald Trump, dressed formally, holds a microphone and delivers a speech at a podium in a formal setting. Studio lighting.",Donald Trump,5317
81,82,"The 45th President of the United States, Donald Trump, stands beside a large map, his right index finger dramatically pointing to specific locations. Informal, Ambient Lighting, Controversial.",Donald Trump,4840
82,83,"The United States President, Donald Trump, sits at a polished wooden conference table. Formal, Professional Lighting, Serious Atmosphere.",Donald Trump,1065
83,84,"Donald Trump nods thoughtfully while engaged in a conversation. Dimly lit, Professional setting.",Donald Trump,3161
84,85,"Donald Trump ambles down a staircase in his signature fashion. Luxurious, Formal Lighting, Serious Atmosphere.",Donald Trump,2727
85,86,"Donald Trump opens a door and smiles, displaying a confident expression. Dramatic lighting, Formal atmosphere.",Donald Trump,1558
86,87,"Donald Trump stands tall in front of a bold American flag. Close-up shot. Bright Artificial Lighting. Serious, Formal atmosphere.",Donald Trump,1824
87,88,"Donald Trump scrutinizes the map with a thoughtful expression in a dark, dimly lit room. Serious, Suspenseful, Professional.",Donald Trump,4196
88,89,"Donald Trump sits behind a large, ornate desk, signing a document with a pen. Formal, Artificial Lighting, Professional.",Donald Trump,1889
89,90,"Donald Trump sitting calmly in a dimly lit room, thoughtfully gazing off into the distance. Low ambient lighting, Somber.",Donald Trump,5262
90,91,"Joe Biden walks slowly through a serene park with lush greenery. Soft, warm lighting, Casual atmosphere.",Joe Biden,3728
91,92,"Video footage of Joe Biden standing at a podium, waving to a cheering crowd in a well-lit outdoor setting.",Joe Biden,1285
92,93,"Joe Biden speaks with enthusiasm and charisma to the assembly. Bright Conference Room Lighting, Formal Atmosphere.",Joe Biden,5433
93,94,"President Joe Biden engages in a serious conversation with a colleague in a formal office setting. Soft, Even Lighting, Professional Atmosphere.",Joe Biden,4842
94,95,"President Joe Biden talks from behind a podium on a dark, formal stage. Dramatic Lighting, Serious, Confident.",Joe Biden,1593
95,96,"Joe Biden shakes hands with a woman in a formal setting, bright natural lighting. Business attire, professional atmosphere.",Joe Biden,3851
96,97,"Joe Biden sits at a wooden desk, writing with a pen on paper. Formal, Tidy Setting, Inquiring.",Joe Biden,2675
97,98,"A formal setting with a clean desk and overhead lighting, where Joe Biden is studying a document very intently and making notes.",Joe Biden,3122
98,99,"President Joe Biden applauds with measured, deliberate hand gestures. Indoor lighting. Formal setting.",Joe Biden,5061
99,100,"Joe Biden walks towards the camera with a determined look on his face. Natural Lighting, Serious Atmosphere.",Joe Biden,2922
100,101,"Joe Biden stands still, smiling confidently for the camera in a bright, formal room. Formal, Well-Lit, Professional.",Joe Biden,4720
101,102,"Joe Biden adjusts his suit in a dimly lit hotel room. Close-up, Serious mood.",Joe Biden,2064
102,103,"Joe Biden, the 46th President of the United States, stands at a balcony railing and waves at a crowd of onlookers. Outdoor natural lighting, sunny day atmosphere, patriotic music plays.",Joe Biden,5593
103,104,"Joe Biden sits in a cozy atmosphere, sipping tea from a china cup. Soft, Warm Lighting.",Joe Biden,1376
104,105,"Joe Biden looks directly at the camera with a warm, inviting smile. Natural Lighting, Casual, Informal.",Joe Biden,4775
105,106,"Joe Biden concentrating intensely on what someone is saying. Formal, Professional Setting.",Joe Biden,5520
106,107,"President Joe Biden confidently strides across a brightly lit, modern conference hall stage. Realistic, Public Lighting, Serious.",Joe Biden,4417
107,108,"President Joe Biden delivers a speech under a clear blue sky with a lush green stage background. Natural lighting, Outdoor Setting, Serious.",Joe Biden,1529
108,109,"Joe Biden stands near a lush garden, surrounded by vibrant flowers and lush greenery. Soft, natural lighting.",Joe Biden,3233
109,110,"President Joe Biden sits comfortably on a plush sofa, engaged in conversation with someone off-camera. Soft lighting fills the room, creating a relaxed atmosphere.",Joe Biden,2098
110,111,"The 46th President of the United States, Joe Biden, passionately delivers a speech to a captivated crowd. Confident, Confident Lighting, Professional.",Joe Biden,5317
111,112,"President Joe Biden passionately gestures towards a detailed map while speaking in a large auditorium. Soft, even lighting, Professional, Serious.",Joe Biden,4840
112,113,"Joe Biden sits behind a wooden conference table with dignitaries present. Dim lighting, Formal atmosphere.",Joe Biden,1065
113,114,"US President Joe Biden sitting at a table, politely nodding his head as he listens to someone speaking. Soft Lighting, Professional Setting.",Joe Biden,3161
114,115,"The 46th President of the United States, Joe Biden, slowly walks down the stairs of the White House in a formal atmosphere. Low-Key Lighting, Respectful.",Joe Biden,2727
115,116,"Joe Biden opens the door and flashes a warm smile as he enters a sunlit room. Realistic, Natural lighting, Serene.",Joe Biden,1558
116,117,"President Joe Biden stands proudly in front of a waving American flag. Bright sunlight with a slight cloud cover. Serious, Patriotic atmosphere.",Joe Biden,1824
117,118,"A wise look on Joe Biden's face as he ponders in thought. Soft, natural lighting.",Joe Biden,4196
118,119,"Joe Biden carefully signs a document in the Oval Office. Serious, Formal, Official.",Joe Biden,1889
119,120,"Joe Biden sits in a dimly lit, intimate room, his thoughts seemingly worlds away as he remains still, contemplating, with a hint of solemnity.",Joe Biden,5262
120,121,"Queen Elizabeth II ambles through a picturesque public park, surrounded by lush greenery. Soft, Pastoral Lighting, Elegant.",Queen Elizabeth II,3728
121,122,"Queen Elizabeth II stands majestically, waving graciously to admire her subjects in an elegant, formal attire, surrounded by lush greenery, bright sunlight, and a dignified atmosphere.",Queen Elizabeth II,1285
122,123,"Queen Elizabeth II, Royal State, Formal Setting, Warm Lighting, Majestic.",Queen Elizabeth II,5433
123,124,"Queen Elizabeth II sits majestically as she converses with a dignitary in a regal formal setting. Luxurious, Formal Lighting, Royal Aura.",Queen Elizabeth II,4842
124,125,"Her Majesty, Queen Elizabeth II, stands confidently behind a polished podium in a dignified, formal setting, adorned with lavish decorations and a grandious backdrop. Dim, Formal lighting.",Queen Elizabeth II,1593
125,126,"Queen Elizabeth II greets a dignitary in front of a stately backdrop, her regal presence exuding dignity and authority. Soft, formal lighting.",Queen Elizabeth II,3851
126,127,"Queen Elizabeth II sits at a dignified desk, her pen scratching across the paper as she writes. Formal, Dim Lighting.",Queen Elizabeth II,2675
127,128,"Regal Setting: The Queen Elizabeth II sits behind a ornate wooden desk, diligently reading through a confidential document with a serious expression. Dimly lit, Formal.",Queen Elizabeth II,3122
128,129,"Her Majesty Queen Elizabeth II claps her hands slowly with a hint of elegance and regal poise in a dimly lit, elegant room.",Queen Elizabeth II,5061
129,130,"Her Majesty Queen Elizabeth II elegantly strolls towards the camera, formal attire and regal demeanor evident. Proper lighting with a slight softbox effect.",Queen Elizabeth II,2922
130,131,"Queen Elizabeth II stands still and smiles in a dignified manner. Formal, Professional Lighting, Regal.",Queen Elizabeth II,4720
131,132,"Queen Elizabeth II subtly adjusts her elegant suit, exuding poise and sophistication in a well-lit, formal setting. Careful attention to detail, calm atmosphere.",Queen Elizabeth II,2064
132,133,"Queen Elizabeth II waves from the balcony of Buckingham Palace, surrounded by lush gardens. Outdoor Lighting.",Queen Elizabeth II,5593
133,134,"The Queen Elizabeth II sits regally in a classic setting, delicately sipping tea from a dainty cup and saucer. Classic, Formal lighting.",Queen Elizabeth II,1376
134,135,"Queen Elizabeth II Sitting in front of a white background, wearing a formal dress, looking at the camera and smiling. Formal, Bright Lighting, Professional.",Queen Elizabeth II,4775
135,136,"Queen Elizabeth II sits attentively in a lavish room. Warm Lighting, Formal Atmosphere.",Queen Elizabeth II,5520
136,137,"Queen Elizabeth II Strides onto Stage. Formal, Bright Lighting, Majestic.",Queen Elizabeth II,4417
137,138,"Her Majesty Queen Elizabeth II delivering a speech in a traditional British setting. Outdoor lighting. Formal, Classy, Regal Atmosphere.",Queen Elizabeth II,1529
138,139,"Queen Elizabeth II stands regally by a beautifully manicured garden. Formal attire, Outdoor lighting, Elegant atmosphere.",Queen Elizabeth II,3233
139,140,"Royal majesty Queen Elizabeth II, dressed in elegant attire, sits regally on a plush sofa, engaging in a thoughtful conversation. Formal lighting, Royal backdrop.",Queen Elizabeth II,2098
140,141,"Queen Elizabeth II stands at podium, microphone in hand, delivering a speech amidst elegant, formal lighting in a grand setting.",Queen Elizabeth II,5317
141,142,"Queen Elizabeth II stands in front of a large map, carefully gesturing with her index finger. Formal, Indoor lighting.",Queen Elizabeth II,4840
142,143,"Queen Elizabeth II sits majestically at a polished wood conference table, surrounded by dignified officials in formal attire. Grand, Luxurious, Formal.",Queen Elizabeth II,1065
143,144,"Her Majesty Queen Elizabeth II is sitting majestically in a chair, nodding thoughtfully as she listens intently to something being spoken. Formal, Professional, Soft Lighting, Ornate Setting.",Queen Elizabeth II,3161
144,145,"Queen Elizabeth II slowly walks down majestic, ornate stairs dressed in formal attire. Warm, soft lighting.",Queen Elizabeth II,2727
145,146,"Queen Elizabeth II elegantly opens a grand door with a warm and radiant smile. Formal lighting, Luxurious atmosphere.",Queen Elizabeth II,1558
146,147,"Her Majesty Queen Elizabeth II stands regally in front of a majestic British flag, adorned with symbols of the British Commonwealth and the Union Jack. Formal, Indoor Lighting.",Queen Elizabeth II,1824
147,148,"Queen Elizabeth II, elegantly dressed, gazes thoughtfully into the distance, her expression pensive against a backdrop of subtle, soft lighting.",Queen Elizabeth II,4196
148,149,"Queen Elizabeth II signing a document at a formal desk in a luxurious setting. Elegant, Formal Lighting, Professional Atmosphere.",Queen Elizabeth II,1889
149,150,"Queen Elizabeth II, dressed in formal attire, sits quietly, her expression contemplative. Traditional, Ornate Settings, Formal.",Queen Elizabeth II,5262
