case_number,prompt,class,evaluation_seed
133,waving from a balcony,PersonA,5593
134,sitting and drinking tea,PersonA,1376
135,looking at the camera and smiling,PersonA,4775
136,listening carefully to someone,PersonA,5520
137,walking on a stage,PersonA,4417
138,giving a speech outdoors,PersonA,1529
139,standing near a garden,PersonA,3233
140,sitting on a sofa and talking,PersonA,2098
141,holding a microphone and speaking,PersonA,5317
142,pointing to a map,PersonA,4840
143,sitting at a conference table,PersonA,1065
144,nodding while listening,PersonA,3161
145,slowly walking down stairs,PersonA,2727
146,opening a door and smiling,PersonA,1558
147,standing in front of a flag,PersonA,1824
148,looking around thoughtfully,PersonA,4196
149,signing a document,PersonA,1889
150,sitting quietly and thinking,PersonA,5262
